"","mse","specificity","sensitivity","model","sample_size"
"output_model1_rep1000_n500.RData.326",0,1,1,1,500
"output_model1_rep1000_n500.RData.327",0,1,1,1,500
"output_model1_rep1000_n500.RData.328",0,1,1,1,500
"output_model1_rep1000_n500.RData.329",0,1,1,1,500
"output_model1_rep1000_n500.RData.330",0.000322413982631984,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.331",0,1,1,1,500
"output_model1_rep1000_n500.RData.332",0,1,1,1,500
"output_model1_rep1000_n500.RData.333",0.000174387051767641,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.334",0,1,1,1,500
"output_model1_rep1000_n500.RData.335",0,1,1,1,500
"output_model1_rep1000_n500.RData.336",0,1,1,1,500
"output_model1_rep1000_n500.RData.337",0,1,1,1,500
"output_model1_rep1000_n500.RData.338",2.25231060214503e-33,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.339",0.0185660304070672,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.340",0.0102519631319186,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.341",0,1,1,1,500
"output_model1_rep1000_n500.RData.342",0,1,1,1,500
"output_model1_rep1000_n500.RData.343",0,1,1,1,500
"output_model1_rep1000_n500.RData.344",0,1,1,1,500
"output_model1_rep1000_n500.RData.345",0.000318589194331905,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.346",0,1,1,1,500
"output_model1_rep1000_n500.RData.347",0.000427240561172525,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.348",0,1,1,1,500
"output_model1_rep1000_n500.RData.349",0.000193436746035138,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.350",0,1,1,1,500
"output_model1_rep1000_n500.RData.351",0,1,1,1,500
"output_model1_rep1000_n500.RData.352",0,1,1,1,500
"output_model1_rep1000_n500.RData.353",0.000223446864161936,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.354",0.00810207347171794,0.868421052631579,1,1,500
"output_model1_rep1000_n500.RData.355",1.41165786930197e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.356",0,1,1,1,500
"output_model1_rep1000_n500.RData.357",1.38260863438496e-33,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.358",0,1,1,1,500
"output_model1_rep1000_n500.RData.359",0.000553596295737525,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.360",0,1,1,1,500
"output_model1_rep1000_n500.RData.361",0,1,1,1,500
"output_model1_rep1000_n500.RData.362",0,1,1,1,500
"output_model1_rep1000_n500.RData.363",0,1,1,1,500
"output_model1_rep1000_n500.RData.364",0.000390576432276204,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.365",0.00109418529587836,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.366",0.000129888729429041,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.367",0,1,1,1,500
"output_model1_rep1000_n500.RData.368",0.000631810995788441,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.369",0.00011753480316393,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.370",0,1,1,1,500
"output_model1_rep1000_n500.RData.371",0,1,1,1,500
"output_model1_rep1000_n500.RData.372",0,1,1,1,500
"output_model1_rep1000_n500.RData.373",0.0010214391824899,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.374",0.00689419377791702,0.815789473684211,1,1,500
"output_model1_rep1000_n500.RData.375",0,1,1,1,500
"output_model1_rep1000_n500.RData.376",0,1,1,1,500
"output_model1_rep1000_n500.RData.377",0.000602080906171314,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.378",0,1,1,1,500
"output_model1_rep1000_n500.RData.379",0,1,1,1,500
"output_model1_rep1000_n500.RData.380",1.89265701435443e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.381",0,1,1,1,500
"output_model1_rep1000_n500.RData.382",4.73156543973588e-06,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.383",0,1,1,1,500
"output_model1_rep1000_n500.RData.384",0,1,1,1,500
"output_model1_rep1000_n500.RData.385",1.75628177167008e-35,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.386",0,1,1,1,500
"output_model1_rep1000_n500.RData.387",7.14412573045206e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.388",0,1,1,1,500
"output_model1_rep1000_n500.RData.389",0,1,1,1,500
"output_model1_rep1000_n500.RData.390",0,1,1,1,500
"output_model1_rep1000_n500.RData.391",0,1,1,1,500
"output_model1_rep1000_n500.RData.392",0,1,1,1,500
"output_model1_rep1000_n500.RData.393",0,1,1,1,500
"output_model1_rep1000_n500.RData.394",0,1,1,1,500
"output_model1_rep1000_n500.RData.395",0,1,1,1,500
"output_model1_rep1000_n500.RData.396",0,1,1,1,500
"output_model1_rep1000_n500.RData.397",0,1,1,1,500
"output_model1_rep1000_n500.RData.398",0,1,1,1,500
"output_model1_rep1000_n500.RData.399",0,1,1,1,500
"output_model1_rep1000_n500.RData.400",0,1,1,1,500
"output_model1_rep1000_n500.RData.401",0,1,1,1,500
"output_model1_rep1000_n500.RData.402",0,1,1,1,500
"output_model1_rep1000_n500.RData.403",0,1,1,1,500
"output_model1_rep1000_n500.RData.404",0,1,1,1,500
"output_model1_rep1000_n500.RData.405",0,1,1,1,500
"output_model1_rep1000_n500.RData.406",0.000330583173994886,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.407",0,1,1,1,500
"output_model1_rep1000_n500.RData.408",0,1,1,1,500
"output_model1_rep1000_n500.RData.409",0,1,1,1,500
"output_model1_rep1000_n500.RData.410",0,1,1,1,500
"output_model1_rep1000_n500.RData.411",0,1,1,1,500
"output_model1_rep1000_n500.RData.412",0,1,1,1,500
"output_model1_rep1000_n500.RData.413",0,1,1,1,500
"output_model1_rep1000_n500.RData.414",0,1,1,1,500
"output_model1_rep1000_n500.RData.415",0.00637418930534865,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.416",0,1,1,1,500
"output_model1_rep1000_n500.RData.417",0,1,1,1,500
"output_model1_rep1000_n500.RData.418",0,1,1,1,500
